"parent","made_sla","caused_by","watch_list","upon_reject","sys_updated_on","child_incidents","hold_reason","origin_table","task_effective_number","approval_history","number","resolved_by","sys_updated_by","opened_by","user_input","sys_created_on","sys_domain","state","route_reason","sys_created_by","knowledge","order","calendar_stc","closed_at","cmdb_ci","delivery_plan","contract","impact","active","work_notes_list","business_service","business_impact","priority","sys_domain_path","rfc","time_worked","expected_start","opened_at","business_duration","group_list","work_end","caller_id","reopened_time","resolved_at","approval_set","subcategory","work_notes","universal_request","short_description","close_code","correlation_display","delivery_task","work_start","assignment_group","additional_assignee_list","business_stc","cause","description","origin_id","calendar_duration","close_notes","notify","service_offering","sys_class_name","closed_by","follow_up","parent_incident","sys_id","contact_type","reopened_by","incident_state","urgency","problem_id","company","reassignment_count","activity_due","assigned_to","severity","comments","approval","sla_due","comments_and_work_notes","due_date","sys_mod_count","reopen_count","sys_tags","escalation","upon_approval","correlation_id","location","category"
"","true","","","Cancel all future Tasks","2025-05-20 02:52:30","0","","","INC0010017","","INC0010017","","admin","System Administrator","","2025-05-20 02:52:30","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 02:52:31","","","","","","","",,"","","test",,"","","","Network","","","","","","","","Do Not Notify","","Incident","","","","041f863293e926509a6b35918bba1064",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Hardware"
"","true","","","Cancel all future Tasks","2025-05-20 05:24:25","0","","","INC0010023","","INC0010023","","admin","System Administrator","","2025-05-20 05:24:25","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 05:24:25","","","","","","","",,"","","",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","11d13efa936d26509a6b35918bba10d5",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 02:49:37","0","","","INC0010014","","INC0010014","","admin","System Administrator","","2025-05-20 02:49:37","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 02:49:37","","","","","","","",,"","","test",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","296e823293e926509a6b35918bba100c",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 02:56:39","0","","","INC0010019","","INC0010019","","admin","System Administrator","","2025-05-20 02:56:39","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 02:56:39","","","","","","","",,"","","Incident test",,"","","","Network","","","","","","","","Do Not Notify","","Incident","","","","3c001e3293e926509a6b35918bba1091",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Hardware"
"","true","","","Cancel all future Tasks","2025-05-09 03:34:22","0","","","INC0010013","","INC0010013","","admin","System Administrator","","2025-05-09 03:34:22","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-09 03:34:22","","","","","","","",,"","","Incident test",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","3d2f29979399e2109a6b35918bba1096",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 02:51:41","0","","","INC0010016","","INC0010016","","admin","System Administrator","","2025-05-20 02:51:41","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 02:51:41","","","","","","","",,"","","test",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","44eece7a93a926509a6b35918bba1052",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 05:26:23","0","","","INC0010024","","INC0010024","","admin","System Administrator","","2025-05-20 05:26:23","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 05:26:23","","","","","","","",,"","","",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","4e427ef6936d26509a6b35918bba10c4",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-08 09:18:22","0","","","INC0010008","","INC0010008","","admin","System Administrator","","2025-05-08 09:18:22","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-08 09:18:22","","","","","","","",,"","","afafasf",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","5b4479c793d5a2109a6b35918bba1076",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 05:44:55","0","","","INC0010027","","INC0010027","","admin","System Administrator","","2025-05-20 05:44:55","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 05:44:55","","","","","","","",,"","","",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","6586ba7293ad26509a6b35918bba105b",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 02:50:31","0","","","INC0010015","","INC0010015","","admin","System Administrator","","2025-05-20 02:50:31","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 02:50:31","","","","","","","",,"","","test",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","729e823293e926509a6b35918bba1017",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-08 09:16:58","0","","","INC0010006","","INC0010006","","admin","System Administrator","","2025-05-08 09:16:58","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-08 09:16:58","","","","","","","",,"","","afafasf",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","72f3b98793d5a2109a6b35918bba1061",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 05:41:49","0","","","INC0010026","","INC0010026","","admin","System Administrator","","2025-05-20 05:41:49","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 05:41:49","","","","","","","",,"","","",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","80d5fe7e936d26509a6b35918bba10f1",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 05:18:29","0","","","INC0010022","","INC0010022","","admin","System Administrator","","2025-05-20 05:18:29","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 05:18:29","","","","","","","",,"","","",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","9670b2f6936d26509a6b35918bba10ae",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 02:52:54","0","","","INC0010018","","INC0010018","","admin","System Administrator","","2025-05-20 02:52:54","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 02:52:54","","","","","","","",,"","","Incident test",,"","","","Network","","","","","","","","Do Not Notify","","Incident","","","","b52f8afa93a926509a6b35918bba1076",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Hardware"
"","true","","","Cancel all future Tasks","2025-05-09 03:33:24","0","","","INC0010011","","INC0010011","","admin","System Administrator","","2025-05-09 03:33:24","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-09 03:33:24","","","","","","","",,"","","Incident test",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","b7eee5d79399e2109a6b35918bba10a8",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 02:56:52","0","","","INC0010020","","INC0010020","","admin","System Administrator","","2025-05-20 02:56:52","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 02:56:52","","","","","","","",,"","","Incident test",,"","","","Network","","","","","","","","Do Not Notify","","Incident","","","","bb00167293e926509a6b35918bba1016",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Hardware"
"","true","","","Cancel all future Tasks","2025-05-20 02:57:58","0","","","INC0010021","","INC0010021","","admin","System Administrator","","2025-05-20 02:57:58","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 02:57:58","","","","","","","",,"","","Incident test",,"","","","Network","","","","","","","","Do Not Notify","","Incident","","","","c45016b293e926509a6b35918bba10ae",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Hardware"
"","true","","","Cancel all future Tasks","2025-05-08 09:18:33","0","","","INC0010010","","INC0010010","","admin","System Administrator","","2025-05-08 09:18:33","global","(4)","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-08 09:18:33","","","","","","","",,"","","afafasf",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","ce54f98793d5a2109a6b35918bba1081",,"","(4)","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 05:29:04","0","","","INC0010025","","INC0010025","","admin","System Administrator","","2025-05-20 05:29:04","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 05:29:04","","","","","","","",,"","","",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","d9e2727e936d26509a6b35918bba100d",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 05:52:55","0","","","INC0010028","","INC0010028","","admin","System Administrator","","2025-05-20 05:52:55","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 05:52:55","","","","","","","",,"","","",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","f658baf293ad26509a6b35918bba103f",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-09 03:34:05","0","","","INC0010012","","INC0010012","","admin","System Administrator","","2025-05-09 03:34:05","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-09 03:34:05","","","","","","","",,"","","Incident test",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","f91f29979399e2109a6b35918bba10e4",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"
"","true","","","Cancel all future Tasks","2025-05-20 05:55:27","0","","","INC0010029","","INC0010029","","admin","System Administrator","","2025-05-20 05:55:27","global","New","","admin","false","","","","","","","3 - Low","true","","","","5 - Planning","/","","","","2025-05-20 05:55:27","","","","","","","",,"","","",,"","","","","","","","","","","","Do Not Notify","","Incident","","","","ffe8f67293ad26509a6b35918bba108d",,"","New","3 - Low","","","0","UNKNOWN","","3 - Low","","Not Yet Requested","UNKNOWN","","","0","0","","Normal","Proceed to Next Task","","","Inquiry / Help"